Timestamp,Please input your age in years,Please input your gender,How proficient are you in the English language?,What is your learning style?,"Prior to this study, how much experience did you have playing Tetris?",How much experience do you have in high workload environments?,Please select the appropriate response after the completion of your task:,Please select your trial number,Please input your score,Please select all the words from this list that you heard during the previous task:,Please select your trial number,Please input your score,"Please select all the words from this list that you heard during the previous task: (10 real, 10 fake)",Please select your trial number,Please input your score,Please select all the words from this list that you heard during the previous task:,Please select your trial number,Please input your score,Please select all the words from this list that you heard during the previous task:,Please select your trial number,Please input your score,Please select all the words from this list that you heard during the previous task:,Rate your workload using the following flowchart:,Rate your workload using the following flowchart:,Rate your workload using the following flowchart:,Rate your workload using the following flowchart:,Rate your workload using the following flowchart:
4/13/2022 9:25:22,26,Male,Native speaker,Visual,4,4,Submit Form (ONLY SELECT IF ALL TRIALS HAVE BEEN COMPLETED,Training,10,"Library, Cooperative, Acceptable",Trial 3,9,"Remarkable, Meek, Reward, Expect, Abusive, Cacuts",Trial 4,8,"Flag, Disturbed, Activity, Warn, Afterthought, Gainful",Trial 1,15,"Clear, Disgusting, Noise, Insidious, Base",Trial 2,7,"Curtain, Wise, Brake, Obscene, Opposite, Furtive, Colossal",4,6,7,5,6
4/13/2022 9:57:34,26,Male,Native speaker,Kinesthetic,3,2,Submit Form (ONLY SELECT IF ALL TRIALS HAVE BEEN COMPLETED,Training,5,"Cooperative, Acceptable",Trial 1,6,"Phone, Keen, Remarkable, Squeal, Stage, Meek, Bells, Reward, Abusive",Trial 3,1,"Flag, Disturbed, Fog, Bikes, Measly, Chalk, Snore, Afterthought, Curious, Holiday",Trial 2,8,"Clear, Scatter, Drain, Whole, Vengeful, Stir, Noise, Trap, Insidious, Base",Trial 4,11,"Curtain, Selection, Wise, Yawn, Obscene, Opposite, Correct, Furtive, Punch, Knit",3,5,7,6,7
4/13/2022 11:19:45,30,Female,Native speaker,Visual,1,1,Submit Form (ONLY SELECT IF ALL TRIALS HAVE BEEN COMPLETED,Training,2,"Acceptable, Powerful",Trial 2,6,"Phone, Wrathful, Meek, Bells, Reward, Cacuts",Trial 3,8,"Interest, Activity, Holiday",Trial 1,0,"Scatter, Stir, Noise, Trap",Trial 4,10,"Yawn, Obscene, Opposite",6,6,7,4,7
4/13/2022 11:48:05,27,Male,Full proficiency,Visual,3,2,Submit Form (ONLY SELECT IF ALL TRIALS HAVE BEEN COMPLETED,Training,5,"Acceptable, Library",Trial 1,4,"Remarkable, Wilderness, Bells, Reward, Abusive",Trial 4,7,"Disturbed, Chalk, Snore, Holiday",Trial 2,12,"Scatter, Disgusting, Stir, Noise, Insidious, Amusing",Trial 3,10,"Curtain, Selection, Guess, Opposite, Amount",5,7,9,6,9
4/13/2022 12:14:56,25,Male,Full proficiency,Visual,2,3,Submit Form (ONLY SELECT IF ALL TRIALS HAVE BEEN COMPLETED,Training,100,"Library, Powerful, Cooperative, Acceptable",Trial 2,1,"Phone, Remarkable, Stage, Bells, Abusive, Cacuts",Trial 4,0,"Flag, Guitar, Snore, Activity, Curious",Trial 1,1,"Scatter, Disgusting, Vengeful, Stir, Noise, Insidious, Amusing",Trial 3,0,"Curtain, Wise, Knowledgeable, Obscene, Mother, Opposite",5,6,7,7,7
4/13/2022 15:54:42,28,Female,Native speaker,Kinesthetic,3,1,Submit Form (ONLY SELECT IF ALL TRIALS HAVE BEEN COMPLETED,Training,2,"Protective, Cooperative, Acceptable, Powerful, Library",Trial 1,4,"Remarkable, Wilderness",Trial 3,0,"Snore, Occur, Activity, Curious",Trial 2,3,"Disgusting, Stir, Noise, Insidious",Trial 4,2,"Curtain, Selection, Obscene, Opposite, Amount",2,6,4,4,4
4/13/2022 17:28:37,24,Male,Native speaker,Visual,2,1,Submit Form (ONLY SELECT IF ALL TRIALS HAVE BEEN COMPLETED,Training,0,"Acceptable, Changeable, Cooperative, Powerful",Trial 2,2,"Wrathful, Remarkable, Squeal, Meek, Reward, Educated, Abusive, Cacuts",Trial 4,4,"Disturbed, Measly, Interest, Occur, Afterthought, Curious, Holiday",Trial 1,2,"Scatter, Instinctive, Insidious, Dreary, Amusing",Trial 3,0,"Wise, Obscene, Opposite, Unnatural, Correct, Furtive, Embarrass, Colossal",4,6,6,6,6
4/16/2022 17:53:23,36,Male,Native speaker,Visual,3,2,Submit Form (ONLY SELECT IF ALL TRIALS HAVE BEEN COMPLETED,Training,1,"Protective, Acceptable, Powerful",Trial 1,10,"Wrathful, Remarkable, Meek, Reward, Abusive, Cacuts",Trial 2,7,"Flag, Disturbed, Boast, Activity, Afterthought, Curious, Holiday",Trial 3,6,"Disgusting, Badge, Noise, Instinctive, Insidious, Amusing",Trial 4,5,"Curtain, Wise, Yawn, Knowledgeable, Obscene, Furtive, Colossal, Amount",2,3,4,7,8
4/16/2022 18:17:40,27,Male,Native speaker,Auditory,3,3,Submit Form (ONLY SELECT IF ALL TRIALS HAVE BEEN COMPLETED,Training,3,"Cooperative, Acceptable, Powerful",Trial 2,1,"Wrathful, Remarkable, Squeal, Stage, Meek, Reward, Cacuts, Street",Trial 3,2,"Disturbed, Guitar, Boast, Chew, Snore, Activity, Holiday",Trial 1,5,"Clear, Disgusting, Vengeful, Noise, Instinctive, Dreary, Amusing",Trial 4,3,"Selection, Wise, Yawn, Knowledgeable, Harbor, Opposite, Correct, Furtive, Colossal, Amount",3,4,5,4,6
4/16/2022 18:38:10,41,Female,Native speaker,Visual,1,2,Submit Form (ONLY SELECT IF ALL TRIALS HAVE BEEN COMPLETED,Training,1,"Powerful, Cooperative, Library, Acceptable",Trial 2,7,"Wrathful, Remarkable, Bells, Reward, Abusive, Cacuts",Trial 4,5,"Disturbed, Bikes, Guitar, Boast, Interest, Snore, Activity, Afterthought, Holiday, Gainful",Trial 1,9,"Learn, Disgusting, Vengeful, Noise, Instinctive, Insidious, Amusing",Trial 3,8,"Selection, Wise, Knowledgeable, Obscene, Mother, Harbor, Opposite, Furtive, Knit, Colossal",5,4,6,5,5
