Timestamp,Age,Gender,Proficiency,LearnStyle,TetrisXP,WorkloadXP,TrialNumT,ScoreT,WordsT,TrialNumA,ScoreA,WordsA,TrialNumB,ScoreB,WordsB,TrialNumC,ScoreC,WordsC,TrialNumD,ScoreD,WordsD,WorkloadT,WorkloadA,WorkloadB,WorkloadC,WorkloadD,precisionT,precisionA,precisionB,precisionC,precisionD,recallT,recallA,recallB,recallC,recallD
04/13/2022 09:25:22,26,Male,Native speaker,Visual,4,4,0,10,"Library, Cooperative, Acceptable",3,9,"Remarkable, Meek, Reward, Expect, Abusive, Cacuts",4,8,"Flag, Disturbed, Activity, Warn, Afterthought, Gainful",1,15,"Clear, Disgusting, Noise, Insidious, Base",2,7,"Curtain, Wise, Brake, Obscene, Opposite, Furtive, Colossal",4,6,7,5,6,1,0.8,0.833333333333333,1,0.714285714285714,0.3,0.4,0.5,0.5,0.5
04/13/2022 09:57:34,26,Male,Native speaker,Kinesthetic,3,2,0,5,"Cooperative, Acceptable",1,6,"Phone, Keen, Remarkable, Squeal, Stage, Meek, Bells, Reward, Abusive",3,1,"Flag, Disturbed, Fog, Bikes, Measly, Chalk, Snore, Afterthought, Curious, Holiday",2,8,"Clear, Scatter, Drain, Whole, Vengeful, Stir, Noise, Trap, Insidious, Base",4,11,"Curtain, Selection, Wise, Yawn, Obscene, Opposite, Correct, Furtive, Punch, Knit",3,5,7,6,7,1,0.777777777777778,0.6,0.7,0.9,0.2,0.7,0.6,0.7,0.9
04/13/2022 11:19:45,30,Female,Native speaker,Visual,1,1,0,2,"Acceptable, Powerful",2,6,"Phone, Wrathful, Meek, Bells, Reward, Cacuts",3,8,"Interest, Activity, Holiday",1,0,"Scatter, Stir, Noise, Trap",4,10,"Yawn, Obscene, Opposite",6,6,7,4,7,1,1,0.666666666666667,0.75,1,0.2,0.5,0.2,0.3,0.3
04/13/2022 11:48:05,27,Male,Full proficiency,Visual,3,2,0,5,"Acceptable, Library",1,4,"Remarkable, Wilderness, Bells, Reward, Abusive",4,7,"Disturbed, Chalk, Snore, Holiday",2,12,"Scatter, Disgusting, Stir, Noise, Insidious, Amusing",3,10,"Curtain, Selection, Guess, Opposite, Amount",5,7,9,6,9,1,0.8,0.75,1,0.8,0.2,0.4,0.3,0.6,0.4
04/13/2022 12:14:56,25,Male,Full proficiency,Visual,2,3,0,100,"Library, Powerful, Cooperative, Acceptable",2,1,"Phone, Remarkable, Stage, Bells, Abusive, Cacuts",4,0,"Flag, Guitar, Snore, Activity, Curious",1,1,"Scatter, Disgusting, Vengeful, Stir, Noise, Insidious, Amusing",3,0,"Curtain, Wise, Knowledgeable, Obscene, Mother, Opposite",5,6,7,7,7,1,1,0.8,0.857142857142857,0.666666666666667,0.4,0.5,0.4,0.6,0.4
04/13/2022 15:54:42,28,Female,Native speaker,Kinesthetic,3,1,0,2,"Protective, Cooperative, Acceptable, Powerful, Library",1,4,"Remarkable, Wilderness",3,0,"Snore, Occur, Activity, Curious",2,3,"Disgusting, Stir, Noise, Insidious",4,2,"Curtain, Selection, Obscene, Opposite, Amount",2,6,4,4,4,0.8,0.5,0.75,1,1,0.4,0.1,0.3,0.4,0.5
04/13/2022 17:28:37,24,Male,Native speaker,Visual,2,1,0,0,"Acceptable, Changeable, Cooperative, Powerful",2,2,"Wrathful, Remarkable, Squeal, Meek, Reward, Educated, Abusive, Cacuts",4,4,"Disturbed, Measly, Interest, Occur, Afterthought, Curious, Holiday",1,2,"Scatter, Instinctive, Insidious, Dreary, Amusing",3,0,"Wise, Obscene, Opposite, Unnatural, Correct, Furtive, Embarrass, Colossal",4,6,6,6,6,0.75,0.714285714285714,0.571428571428571,0.6,0.625,0.3,0.5,0.4,0.3,0.5
04/16/2022 17:53:23,36,Male,Native speaker,Visual,3,2,0,1,"Protective, Acceptable, Powerful",1,10,"Wrathful, Remarkable, Meek, Reward, Abusive, Cacuts",2,7,"Flag, Disturbed, Boast, Activity, Afterthought, Curious, Holiday",3,6,"Disgusting, Badge, Noise, Instinctive, Insidious, Amusing",4,5,"Curtain, Wise, Yawn, Knowledgeable, Obscene, Furtive, Colossal, Amount",2,3,4,7,8,0.666666666666667,1,0.714285714285714,0.833333333333333,0.75,0.2,0.5,0.5,0.5,0.6
04/16/2022 18:17:40,27,Male,Native speaker,Auditory,3,3,0,3,"Cooperative, Acceptable, Powerful",2,1,"Wrathful, Remarkable, Squeal, Stage, Meek, Reward, Cacuts, Street",3,2,"Disturbed, Guitar, Boast, Chew, Snore, Activity, Holiday",1,5,"Clear, Disgusting, Vengeful, Noise, Instinctive, Dreary, Amusing",4,3,"Selection, Wise, Yawn, Knowledgeable, Harbor, Opposite, Correct, Furtive, Colossal, Amount",3,4,5,4,6,1,0.857142857142857,0.714285714285714,0.571428571428571,0.7,0.3,0.6,0.5,0.4,0.7
04/16/2022 18:38:10,41,Female,Native speaker,Visual,1,2,0,1,"Powerful, Cooperative, Library, Acceptable",2,7,"Wrathful, Remarkable, Bells, Reward, Abusive, Cacuts",4,5,"Disturbed, Bikes, Guitar, Boast, Interest, Snore, Activity, Afterthought, Holiday, Gainful",1,9,"Learn, Disgusting, Vengeful, Noise, Instinctive, Insidious, Amusing",3,8,"Selection, Wise, Knowledgeable, Obscene, Mother, Harbor, Opposite, Furtive, Knit, Colossal",5,4,6,5,5,1,1,0.7,0.571428571428571,0.5,0.4,0.5,0.7,0.4,0.5
04/16/2022 18:57:18,39,Female,Native speaker,Kinesthetic,2,5,0,2,"Powerful, Acceptable, Cooperative, Wild",2,8,"Wrathful, Remarkable, Squeal, Stage, Reward, Educated, Abusive",3,9,"Disturbed, Guitar, Boast, Interest, Snore, Activity, Curious, Holiday, Gainful",1,11,"Scatter, Learn, Vengeful, Noise, Instinctive, Amusing",4,13,"Curtain, Selection, Yawn, Knowledgeable, Obscene, Opposite, Correct, Furtive",4,5,5,4,5,0.75,0.714285714285714,0.555555555555556,0.5,0.875,0.3,0.5,0.5,0.3,0.7
